Source,#,Checklist Key,Checklist Name,Checklist Team,Match Method,Oracle Player Id,MLBAM Id,Oracle Name,Oracle Route,Ranking Role,Rank Label,Rank Availability,Rank Universe,Rank Target,Rank As Of,Rank Model Version,Evidence Tier,Volatility,Reason Codes,Career Outlook,Career Outlook Band,Career Outlook Basis,Career Outlook As Of,Career Outlook Model Version,Age,Level,Team,Pos,Record Version,Snapshot Id,Schema Version,Contract Version,Updated
Baseball Oracle Player Signals,1,jesus made,Jesus Made,Milwaukee Brewers,verified_checklist_seed,prospect-savant:minor:sa3024108:hitters,815908,Jesús Made,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,24.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,19,AA,MIL,SS,sha256:ea4556664566c52c9e970cf26f8e2990200aee3bae31f3d8fd4cacb9ef310ac6,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,1,konnor griffin,Konnor Griffin,Pittsburgh Pirates,verified_checklist_seed,bbref:griffko01,804606,Konnor Griffin,rookie,hitter,Pre-Debut Rank,available,6455,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,23.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,20,MLB,PIT,6/DH,sha256:7a3fe0a0c456b362573818ceb7d6d2300c0a84c04a5ac5a3d4181088389cd129,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,2,aidan miller,Aidan Miller,Philadelphia Phillies,verified_checklist_seed,fangraphs:805795:hitter,805795,Aidan Miller,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,22,AAA,PHI,SS,sha256:95b61b46d05369905ea123d6b63f83c869433398dc8cf096efcb1234507903e9,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,2,kevin mcgonigle,Kevin McGonigle,Detroit Tigers,verified_checklist_seed,bbref:mcgonke01,805808,Kevin McGonigle,rookie,hitter,Pre-Debut Rank,available,6455,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,MLB,DET,65/D,sha256:69c417b20cdc779b105badde38aa3c14989e82caff8588b0b1da58f5ee87245d,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,3,john gil,John Gil,,unique_checklist_name,prospect-savant:minor:sa3021284:hitters,808535,John Gil,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,23.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,20,A+,ATL,SS,sha256:fcc2ef5b202390c9c3e9a75c084222b22c8057f5b37f25f2c690489dab6a4bf0,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,4,max clark,Max Clark,Detroit Tigers,verified_checklist_seed,prospect-savant:minor:sa3022683:hitters,703601,Max Clark,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AAA,DET,OF,sha256:c0fc178dbd66f651941187c7b76862693e1f8b21ffcf756c3a56ec30caed5c47,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,5,colt emerson,Colt Emerson,Seattle Mariners,verified_checklist_seed,bbref:emersco01,806068,Colt Emerson,rookie,hitter,Pre-Debut Rank,available,6455,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,20.1,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,20,MLB,SEA,65/DH,sha256:3bb56ce112366665773b3cd42576377c214482ca65d5aff18e7568de4240c40b,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,5,sebastian walcott,Sebastian Walcott,Texas Rangers,verified_checklist_seed,fangraphs:806964:hitter,806964,Sebastian Walcott,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,23.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,20,AA,TEX,SS,sha256:dbc14ac5d01b070d2117176fd1ebda9a787481e24493aa618787c7e1dbb0051c,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,6,jj wetherholt,JJ Wetherholt,St. Louis Cardinals,verified_checklist_seed,bbref:wethejj01,802139,JJ Wetherholt,rookie,hitter,Pre-Debut Rank,available,6455,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,10.1,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,23,MLB,STL,*4/6H,sha256:3491ac0f46bf88adb2498759a202dcd641c13d818e49b81eaa40087f7696680f,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,6,thomas white,Thomas White,Miami Marlins,verified_checklist_seed,prospect-savant:minor:sa3023268:pitchers,806258,Thomas White,milb,pitcher,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,14.5,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AAA,MIA,P,sha256:0ff8ff4a0f99df5fd3cfcca79ab8c01f51d1a911bcea1b23b4138697c34bcce9,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,7,dante nori,Dante Nori,,verified_checklist_seed,prospect-savant:minor:sa3025411:hitters,807276,Dante Nori,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AA,PHI,OF,sha256:a310eeec953f62bb189ad24ee7a5f6d8475ce69b962183940536a261788e5beb,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,8,ethan salas,Ethan Salas,,unique_checklist_name,prospect-savant:minor:sa3020881:hitters,806956,Ethan Salas,milb,hitter,Prospect Rank,insufficient_sample,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_prior,high,thin_sample_prior,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,20,AA,SDP,C,sha256:f2b684d86941c26b148de642f15579db5e8d73bb774ad3120910ba894f99064e,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,9,kendall george,Kendall George,,unique_checklist_name,prospect-savant:minor:sa3022660:hitters,806077,Kendall George,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AA,LAD,OF,sha256:1f780de6e091cb297dbb9c8297f5665e5d36960ae9dc719cd1869da598b3244a,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,10,walker jenkins,Walker Jenkins,Minnesota Twins,verified_checklist_seed,prospect-savant:minor:sa3022894:hitters,805805,Walker Jenkins,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AAA,MIN,OF,sha256:d3694dd60f113d56b9f477402462ef4af42e4e7a96ef70530cfdfeeba763d87a,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,11,william bergolla,William Bergolla,,unique_checklist_name,prospect-savant:minor:sa3019777:hitters,703151,William Bergolla Jr.,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,AAA,CHW,2B,sha256:c17b153d4a329498d7354cb7dc373ab35871e5cbc14791cff349545356308f54,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,12,jett williams,Jett Williams,,unique_checklist_name,prospect-savant:minor:sa3020134:hitters,702518,Jett Williams,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,14.4,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,22,AAA,MIL,SS,sha256:2f0ae9cebad320255a57a3e3020c5a60fe697c3feacafcee567d7e93f684e640,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,13,joshua baez,Joshua Baez,,unique_checklist_name,prospect-savant:minor:sa3017022:hitters,695491,Joshua Báez,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,14.4,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,23,AAA,STL,RF,sha256:955c5545ba13254fe9324d049ee6b61455dac49c98f74aedf8b1eb3fa96d713e,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,14,luis pena,Luis Peña,Milwaukee Brewers,verified_checklist_seed,prospect-savant:minor:sa3024134:hitters,821270,Luis Peña,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,23.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,19,A+,MIL,SS,sha256:e61ee9b5c9cf7976608b5c7588682161a641a3d6d4f5b658e167e8b7a2696ddd,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,15,cooper pratt,Cooper Pratt,Milwaukee Brewers,verified_checklist_seed,bbref:prattco01,806198,Cooper Pratt,rookie,hitter,Pre-Debut Rank,available,6455,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,17,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,21,MLB,MIL,6,sha256:a227b8bfe80f5d3874bc6655c6002b28fa5f652f9ace938908c5871706f27468,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,15,rainiel rodriguez,Rainiel Rodriguez,St. Louis Cardinals,verified_checklist_seed,prospect-savant:minor:sa3023987:hitters,823787,Rainiel Rodriguez,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,23.3,MLB contributor,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,19,AA,STL,C,sha256:3da647b32680022d204a7faae0f4130900d01aa67fc5665d8ab6f2c334769de4,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
Baseball Oracle Player Signals,16,kaelen culpepper,Kaelen Culpepper,Minnesota Twins,verified_checklist_seed,prospect-savant:minor:sa3025360:hitters,701785,Kaelen Culpepper,milb,hitter,Prospect Rank,available,6490,mlb_war_next_5_ge_5,2025-12-31T00:00:00.000Z,milb-impact-five-calendar-year-war-v1,completed_season_full_model,standard,,10.1,Limited MLB value,conditional_on_mlb_arrival,2025-12-31T00:00:00.000Z,arrival-post-pandemic-v1-amendment-001+mlb-debut-age-bridge-v1,23,AAA,MIN,SS,sha256:446116666ce84c5357ca0b8f47d2d33ba6d2cacc2ac0fa04417c2604287936de,player-signals-snapshot/v1:a3313f0e5fbadc7242c9fef08139c319184e3b741b633be8764066051cf0b8b8,player-signals.v1,player-signals-contract/v1,2026-07-14T14:14:34.796Z
