Population,#,FgId,Name,Age,Level,Team,Pos,Avg Rank,Coverage,In Sts,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,Colossus,Updated
hitter,1,sa3069164,Eli Willits,18,A+,WSN,SS,7.85714,7,1,3,12,1,2,1,9,27,,2026-07-04 18:40:26
hitter,2,sa3018591,Josue De Paula,21,AA,LAD,RF,12.4286,7,1,1,46,5,3,6,4,22,,2026-07-04 18:40:26
hitter,3,sa3022609,Aidan Miller,22,AAA,PHI,SS,,2,1,,3,,,22,,,,2026-07-04 18:40:26
hitter,4,sa3024108,Jesus Made,19,AA,MIL,SS,25.2857,7,1,15,11,11,7,7,2,124,,2026-07-04 18:40:26
hitter,5,29218,Pedro Ramirez,22,MLB,CHC,3B,26.1667,6,1,24,,19,16,42,7,49,,2026-07-04 18:40:26
hitter,6,sa3067709,Franklin Primera,19,A,BOS,C,,2,1,,,,,46,,7,,2026-07-04 18:40:26
hitter,7,sa3022894,Walker Jenkins,21,AAA,MIN,CF,27.4286,7,1,67,35,33,5,8,5,39,,2026-07-04 18:40:26
hitter,8,sa3020135,Luke Adams,22,AAA,MIL,1B,30.4286,7,1,19,85,27,14,3,3,62,,2026-07-04 18:40:26
hitter,9,sa3025565,Theo Gillen,20,AA,TBR,CF,34.6429,7,1,83,40.5,16,9,14,35,45,,2026-07-04 18:40:26
hitter,10,sa3069285,Josiah Hartshorn,19,A+,CHC,RF,37.5,6,1,39,,14,19,31,24,98,,2026-07-04 18:40:26
hitter,11,sa3024329,Juneiker Caceres,18,A,CLE,RF,38.7857,7,1,5,81.5,60,20,26,15,64,,2026-07-04 18:40:26
hitter,12,35094,Sean Keys,23,MLB,TOR,3B,39,5,1,26,,,34,29,52,54,,2026-07-04 18:40:26
hitter,13,sa3018514,Luis Lara,21,AAA,MIL,CF,43.0714,7,1,2,210.5,3,6,38,23,19,,2026-07-04 18:40:26
hitter,14,sa3069150,Tate Southisene,19,A+,ATL,SS,44.3333,6,1,44,,15,22,72,53,60,,2026-07-04 18:40:26
hitter,15,sa3021172,Reiner Herrera,20,A,CLE,C,,2,1,,,,,87,,2,,2026-07-04 18:40:26
hitter,16,sa3023168,Josh Adamczewski,21,AA,MIL,SS,46.7857,7,1,99,64.5,34,12,52,14,52,,2026-07-04 18:40:26
hitter,17,sa3023363,Leo De Vries,19,AA,ATH,SS,48.7857,7,1,6,59.5,8,17,12,36,203,,2026-07-04 18:40:26
hitter,18,sa3021845,Franklin Arias,20,AA,BOS,SS,49.5,7,1,4,176.5,4,1,13,1,147,,2026-07-04 18:40:26
hitter,19,29005,Esmerlyn Valdez,22,MLB,PIT,RF,50.1667,6,1,22,,41,40,9,6,183,,2026-07-04 18:40:26
hitter,20,sa3067040,Eric Hartman,20,A+,ATL,CF,55.8571,7,1,12,19,6,47,35,46,226,,2026-07-04 18:40:26
hitter,21,sa3042374,Mike Sirota,23,AA,LAD,CF,57.0714,7,1,54,50.5,142,38,45,42,28,,2026-07-04 18:40:26
