Population,#,FgId,Name,Age,Level,Team,Pos,Avg Rank,Coverage,In Sts,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt,Colossus,Updated
pitcher,1,sa3026056,Kade Anderson,21,AA,SEA,,1.16667,6,1,1,,1,1,1,1,2,,2026-06-28 18:43:40
pitcher,2,sa3023557,Travis Sykora,22,AA,WSN,,,2,1,,1,,,3,,,,2026-06-28 18:43:40
pitcher,3,sa3069247,Seth Hernandez,20,A+,PIT,,4,6,1,4,,2,3,8,6,1,,2026-06-28 18:43:40
pitcher,4,sa3018808,Jarlin Susana,22,AA,WSN,,,2,1,,2,,,9,,,,2026-06-28 18:43:40
pitcher,5,sa3067514,Ramon Marquez,20,A+,PHI,,16.6667,6,1,13,,4,2,44,16,21,,2026-06-28 18:43:40
pitcher,6,32056,Noah Schultz,22,MLB,CHW,,19,3,1,6,,,15,36,,,,2026-06-28 18:43:40
pitcher,7,sa3030726,Joseph Dzierwa,22,AA,BAL,,21.3333,6,1,18,,5,12,16,3,74,,2026-06-28 18:43:40
pitcher,8,sa3020659,Karson Milbrandt,22,AAA,MIA,,24.2857,7,1,7,47,3,10,49,4,50,,2026-06-28 18:43:40
pitcher,9,31893,Robby Snelling,22,MLB,MIA,,28,6,1,3,,71,8,5,5,76,,2026-06-28 18:43:40
pitcher,10,sa3060252,Mason Peters,22,A,SEA,,29.5,6,1,41,,40,37,29,25,5,,2026-06-28 18:43:40
pitcher,11,sa3031104,Anthony Eyanson,21,AA,BOS,,30.6667,6,1,15,,6,16,7,17,123,,2026-06-28 18:43:40
pitcher,12,sa3018867,Christian Zazueta,21,AA,LAD,,32.2857,7,1,31,83,18,7,46,13,28,,2026-06-28 18:43:40
pitcher,13,sa3015476,Yordanny Monegro,23,AA,BOS,,,2,1,,41.5,,,26,,,,2026-06-28 18:43:40
pitcher,14,sa3035887,Justin Lamkin,22,AA,KCR,,35.3333,6,1,22,,65,11,35,28,51,,2026-06-28 18:43:40
